Video ID,File Path,Emotion,Status,Timestamp,Annotation Time (seconds),Video Load Time,Selection Count,Next Button Time,Time to Next (seconds),Annotation Mode
"video_001","data/Terror_Sad_0163.mp4","sad","annotated","2025-09-27T06:48:47.511Z","6.69","2025-09-27T06:48:40.817Z","1","2025-09-27T06:48:48.471Z","7.65","Mode 2"
"video_002","data/School_Disgust_0101.mp4","happy","annotated","2025-09-27T06:48:54.036Z","5.51","2025-09-27T06:48:48.522Z","1","2025-09-27T06:48:54.875Z","6.35","Mode 2"
"video_003","data/Crisis_Disgust_0002.mp4","disgust","annotated","2025-09-27T06:48:58.221Z","3.31","2025-09-27T06:48:54.914Z","1","2025-09-27T06:48:58.874Z","3.96","Mode 2"
"video_004","data/Interview_Angry_0247.mp4","fear","annotated","2025-09-27T06:49:07.350Z","8.43","2025-09-27T06:48:58.923Z","1","2025-09-27T06:49:08.301Z","9.38","Mode 2"
"video_005","data/History_Neutral_0366.mp4","disgust","annotated","2025-09-27T06:49:11.859Z","3.52","2025-09-27T06:49:08.340Z","1","2025-09-27T06:49:12.846Z","4.51","Mode 2"
"video_006","data/Contest_Surprise_0023.mp4","surprise","annotated","2025-09-27T06:49:14.789Z","1.91","2025-09-27T06:49:12.879Z","1","2025-09-27T06:49:15.659Z","2.78","Mode 2"
"video_007","data/Business_Disgust_0082.mp4","disgust","annotated","2025-09-27T06:49:20.887Z","5.18","2025-09-27T06:49:15.712Z","1","2025-09-27T06:49:22.581Z","6.87","Mode 2"
"video_008","data/War_Angry_0595.mp4","angry","annotated","2025-09-27T06:49:24.247Z","1.62","2025-09-27T06:49:22.626Z","1","2025-09-27T06:49:25.146Z","2.52","Mode 2"
"video_009","data/Business_Neutral_0117.mp4","neutral","annotated","2025-09-27T06:49:29.557Z","4.38","2025-09-27T06:49:25.180Z","1","2025-09-27T06:49:30.846Z","5.67","Mode 2"
"video_010","data/School_Disgust_0099.mp4","happy","annotated","2025-09-27T06:49:32.429Z","1.54","2025-09-27T06:49:30.884Z","1","2025-09-27T06:49:33.614Z","2.73","Mode 2"
"video_011","data/Conflict_Surprise_0036.mp4","surprise","annotated","2025-09-27T06:49:38.993Z","5.34","2025-09-27T06:49:33.654Z","2","2025-09-27T06:49:39.711Z","6.06","Mode 2"
"video_012","data/ElegantArt_Angry_0115.mp4","surprise","annotated","2025-09-27T06:49:41.865Z","2.09","2025-09-27T06:49:39.771Z","1","2025-09-27T06:49:43.192Z","3.42","Mode 2"
"video_013","data/ScholarReport_Fear_0015.mp4","fear","annotated","2025-09-27T06:49:46.409Z","3.17","2025-09-27T06:49:43.238Z","1","2025-09-27T06:49:47.213Z","3.98","Mode 2"
"video_014","data/Conflict_Neutral_0327.mp4","happy","annotated","2025-09-27T06:49:49.958Z","2.72","2025-09-27T06:49:47.238Z","1","2025-09-27T06:49:50.805Z","3.57","Mode 2"
"video_015","data/ScholarReport_Fear_0006.mp4","neutral","annotated","2025-09-27T06:49:53.100Z","2.27","2025-09-27T06:49:50.830Z","1","2025-09-27T06:49:54.246Z","3.42","Mode 2"
"video_016","data/Business_Disgust_0106.mp4","neutral","annotated","2025-09-27T06:50:02.618Z","8.33","2025-09-27T06:49:54.284Z","1","2025-09-27T06:50:03.787Z","9.50","Mode 2"
"video_017","data/School_Sad_0307.mp4","disgust","annotated","2025-09-27T06:50:09.414Z","5.59","2025-09-27T06:50:03.825Z","2","2025-09-27T06:50:10.012Z","6.19","Mode 2"
